vehicle_id,manufacturer,model,variant,variant_code,generation,year,launch_year,body_style,segment,fuel_type,transmission,drivetrain,seating_capacity,doors,engine_displacement_cc,engine_description,horsepower,torque_nm,length_mm,width_mm,height_mm,wheelbase_mm,ground_clearance_mm,boot_space_liters,fuel_tank_capacity_liters,mileage_arai,mileage_real_world,price_ex_showroom,price_on_road,currency,safety_rating,airbags,adas_level,warranty_years,warranty_km,image_url,brochure_url,market,country,status
HYRYDER_G,Toyota,Hyryder,Hybrid G,HYBRID_G,1st Gen,2025,2022,SUV,C-SUV,Hybrid,Automatic,FWD,5,5,1490,1.5L Hybrid,114,141,4365,1795,1645,2600,210,373,45,27.97,24.50,1800000,2050000,INR,4,6,Level 1,3,100000,,,India,India,Active
XUV700_AX7,Mahindra,XUV700,AX7,AX7,1st Gen,2025,2021,SUV,D-SUV,Diesel,Automatic,FWD,7,5,2198,2.2L mHawk Diesel,182,450,4695,1890,1755,2750,200,240,60,17.00,15.50,2450000,2800000,INR,5,7,Level 2,5,150000,,,India,India,Active
CRETA_SX,Hyundai,Creta,SX,SX,2nd Gen Facelift,2025,2024,SUV,C-SUV,Petrol,Automatic,FWD,5,5,1497,1.5L MPi Petrol,115,144,4330,1790,1635,2610,190,433,50,17.70,15.80,1850000,2100000,INR,3,6,Level 2,3,100000,,,India,India,Active
ELEVATE_ZX,Honda,Elevate,ZX,ZX,1st Gen,2025,2023,SUV,C-SUV,Petrol,CVT,FWD,5,5,1498,1.5L i-VTEC Petrol,119,145,4312,1790,1650,2650,220,458,40,16.92,15.20,1720000,1960000,INR,5,6,None,3,Unlimited,,,India,India,Active
CITY_ZX,Honda,City,ZX,ZX,5th Gen,2025,2020,Sedan,C-Sedan,Petrol,CVT,FWD,5,4,1498,1.5L i-VTEC Petrol,119,145,4583,1748,1489,2600,165,506,40,18.40,16.50,1650000,1880000,INR,5,6,None,3,Unlimited,,,India,India,Active
VERNA_SX,Hyundai,Verna,SX,SX,6th Gen,2025,2023,Sedan,C-Sedan,Petrol,DCT,FWD,5,4,1482,1.5L Turbo GDi,158,253,4535,1765,1475,2670,170,528,45,20.60,17.80,1760000,2010000,INR,5,6,Level 2,3,100000,,,India,India,Active
SLAVIA_STYLE,Skoda,Slavia,Style,STYLE,1st Gen,2025,2022,Sedan,C-Sedan,Petrol,Automatic,FWD,5,4,1498,1.5L TSI,148,250,4541,1752,1507,2651,179,521,45,19.36,17.20,1890000,2140000,INR,5,6,None,4,100000,,,India,India,Active
VIRTUS_GT,Volkswagen,Virtus,GT,GT,1st Gen,2025,2022,Sedan,C-Sedan,Petrol,DSG,FWD,5,4,1498,1.5L TSI EVO,148,250,4561,1752,1507,2651,179,521,45,19.62,17.40,1930000,2190000,INR,5,6,None,4,100000,,,India,India,Active
INNOVA_HYCROSS,Toyota,Innova Hycross,ZX Hybrid,ZX_HYBRID,1st Gen,2025,2022,MUV,Premium MUV,Hybrid,e-CVT,FWD,7,5,1987,2.0L Strong Hybrid,184,206,4755,1850,1795,2850,185,300,52,23.24,20.50,3150000,3600000,INR,5,6,Level 2,3,100000,,,India,India,Active
SCORPIO_N_Z8,Mahindra,Scorpio N,Z8,Z8,1st Gen,2025,2022,SUV,D-SUV,Diesel,Automatic,RWD,7,5,2198,2.2L mHawk Diesel,172,400,4662,1917,1857,2750,187,460,57,15.42,13.80,2400000,2720000,INR,5,6,Level 2,5,150000,,,India,India,Active
